id,firstname,age,profession,city,salary
1,Hasan,28,Banker,Dhaka,40000
2,Sayem,31,Police Officer,Barisal,35000
3,Raju,27,Software Engineer,Dhaka,30000
4,Golam,29,Doctor,Khulna,50000
5,Alim,35,Banker,Chittagong,35000
6,Sazzad,41,Government Officer,Rajshahi,32000
7,Kabir,44,Banker,Dhaka,40000
8,Masud,33,Architect,Barisal,50000
9,Sabbir,50,Accountant,Sylhet,50000
10,Joy,55,Researcher,Dhaka,35000
11,Kibria,31,Doctor,Dhaka,32000
12,Ahsan,46,Civil Engineer,Dhaka,40000
13,Habib,32,Dentist,Sylhet,50000
14,Rafi,23,Intern,Dhaka,50000
15,Samin,33,Chef,Barisal,50000
16,Monir,31,Software Engineer,Dhaka,35000
17,Abrar,28,Sales Manager,Khulna,32000
18,Morshed,51,Sales Manager,Dhaka,40000
19,Salman,42,Graphics Designer,Rajshahi,35000
20,Tarek,27,Architect,Chittagong,32000
